eeg_1,eeg_2,eeg_3,eeg_4
816.337,806.6667,806.26373,799.81683
810.293,806.6667,804.65204,802.23444
797.8022,808.2784,799.81683,814.3223
803.44324,809.89014,798.20514,816.7399
814.7253,807.0696,796.5934,811.9048
805.8608,810.293,798.20514,804.65204
795.38464,812.3077,801.4286,797.3993
801.4286,807.0696,803.0403,803.44324
797.8022,803.0403,803.0403,809.0842
797.8022,805.05493,801.02563,796.5934
806.26373,807.0696,801.4286,792.96704
811.0989,808.2784,807.8755,799.41394
808.2784,809.0842,809.89014,811.9048
801.02563,808.68134,806.26373,811.0989
809.0842,805.8608,802.6374,807.0696
808.2784,800.2198,797.8022,802.6374
804.2491,801.8315,796.5934,797.3993
803.0403,807.0696,800.2198,808.2784
802.6374,803.44324,803.44324,803.8461
809.4872,798.60803,804.2491,796.5934
813.1135,803.0403,803.8461,797.3993
811.9048,808.2784,802.23444,801.8315
813.91943,801.4286,801.8315,815.12823
818.7546,799.41394,803.44324,819.5604
821.978,800.6227,802.23444,815.9341
814.7253,805.8608,803.8461,809.0842
805.4579,808.2784,803.44324,804.65204
812.71063,803.0403,801.4286,814.3223
814.7253,806.6667,801.02563,816.7399
810.696,806.26373,805.05493,795.78754
811.0989,805.05493,804.65204,795.38464
810.293,806.6667,802.23444,802.6374
818.7546,806.6667,804.65204,804.65204
806.26373,803.0403,806.6667,798.60803
796.1905,801.02563,801.02563,790.9524
808.2784,807.8755,802.23444,805.05493
806.26373,799.81683,801.4286,787.72894
811.50183,804.65204,807.8755,795.78754
813.5165,808.2784,809.89014,808.68134
819.5604,809.0842,805.8608,807.47253
816.337,807.8755,803.8461,795.38464
818.3516,807.47253,807.0696,792.96704
810.293,804.65204,808.2784,801.4286
791.75824,796.99634,808.68134,803.8461
796.1905,802.23444,809.4872,799.41394
807.0696,808.68134,805.4579,795.78754
810.293,806.6667,799.81683,789.7436
805.05493,809.89014,801.4286,794.17584
808.2784,811.50183,806.26373,804.65204
809.89014,808.68134,806.26373,813.5165
805.05493,804.2491,807.8755,802.6374
813.1135,804.65204,807.47253,790.14655
809.4872,808.2784,807.8755,791.75824
797.3993,806.26373,810.696,796.5934
801.4286,802.6374,809.4872,799.41394
807.47253,802.6374,809.4872,799.011
801.4286,804.65204,808.2784,788.1319
794.57874,804.2491,805.4579,780.87915
801.02563,798.20514,807.47253,788.93774
808.2784,807.0696,807.8755,795.78754
806.6667,809.89014,805.4579,796.99634
804.65204,805.4579,802.23444,784.10254
795.38464,805.8608,802.23444,774.0293
795.38464,805.8608,804.2491,787.326
807.8755,812.3077,803.0403,796.1905
803.44324,811.0989,802.6374,786.52014
799.81683,801.02563,802.6374,785.7143
806.26373,806.6667,803.8461,790.9524
801.4286,808.2784,802.23444,789.34064
802.23444,802.23444,799.41394,796.5934
808.68134,804.2491,797.8022,797.3993
803.0403,808.2784,803.44324,799.011
800.6227,808.2784,804.65204,799.011
804.2491,808.68134,803.0403,803.8461
798.20514,802.23444,800.2198,797.3993
802.23444,813.91943,804.2491,799.011
804.65204,810.696,805.4579,797.3993
816.7399,815.5311,807.0696,795.38464
809.0842,810.696,803.44324,792.96704
808.2784,801.8315,804.2491,804.2491
820.3663,809.0842,806.6667,813.5165
817.9487,813.1135,810.293,809.89014
816.7399,812.71063,814.7253,800.2198
819.5604,814.3223,810.696,801.8315
820.3663,811.9048,811.50183,809.4872
817.9487,810.696,814.7253,812.3077
813.1135,813.91943,813.1135,809.89014
812.3077,810.293,810.293,805.8608
809.4872,802.6374,808.2784,801.4286
807.47253,802.23444,809.4872,811.50183
807.8755,803.44324,815.12823,813.1135
810.293,805.8608,815.9341,807.8755
813.5165,803.8461,812.3077,804.2491
818.3516,799.41394,809.4872,805.4579
814.3223,802.6374,810.293,813.5165
808.2784,803.0403,809.0842,815.12823
806.26373,803.0403,806.6667,803.0403
812.3077,801.4286,797.8022,802.23444
809.0842,801.4286,803.44324,797.3993
811.50183,807.47253,803.0403,799.41394
809.89014,808.68134,806.6667,801.8315
809.0842,805.4579,802.23444,803.44324
813.5165,801.8315,802.6374,803.44324
814.7253,801.02563,804.65204,797.8022
815.9341,802.6374,807.8755,799.011
816.7399,804.65204,806.6667,805.8608
811.0989,803.8461,805.05493,805.05493
802.6374,802.23444,801.8315,795.38464
800.6227,803.44324,802.6374,798.20514
807.8755,802.23444,804.65204,810.696
813.91943,804.65204,807.0696,819.15753
819.9634,806.6667,810.696,816.337
816.337,805.4579,813.1135,804.65204
807.0696,802.23444,812.3077,799.41394
799.41394,799.81683,807.0696,805.4579
798.20514,801.4286,803.44324,812.3077
805.4579,799.81683,801.4286,807.47253
801.8315,804.2491,801.8315,802.6374
798.60803,803.0403,807.0696,805.4579
808.68134,797.8022,813.91943,806.6667
807.8755,800.2198,808.2784,812.3077
801.02563,799.41394,807.0696,807.0696
