eeg_1,eeg_2,eeg_3,eeg_4
594.3223,728.49817,748.6447,703.5165
662.01465,734.94507,776.8498,736.1539
643.8828,758.315,767.5824,809.4872
625.34796,732.52747,746.2271,798.60803
667.25275,720.0366,737.3626,776.04395
659.59705,744.61536,737.76556,796.5934
701.50183,770.0,709.9634,822.381
709.5604,745.0183,711.5751,795.78754
667.6557,749.0476,745.82416,763.95605
726.08057,790.14655,735.34796,743.4066
601.5751,728.49817,768.3883,694.65204
682.96704,772.01465,743.4066,705.5311
697.47253,769.19415,785.31134,791.3553
643.8828,718.022,736.9597,688.60803
669.67035,724.0659,723.2601,690.2198
695.4579,722.0513,737.3626,743.4066
737.3626,717.619,734.5421,765.9707
759.12085,767.98535,731.31866,751.4652
767.98535,794.57874,741.39197,763.95605
733.73627,756.7033,756.7033,755.89746
673.2967,740.989,748.24176,743.8095
689.81683,750.2564,730.5128,763.95605
723.663,748.6447,724.4689,767.5824
738.1685,755.09155,749.85345,713.5897
753.47986,742.1978,766.3736,700.696
772.8205,723.2601,736.55676,758.71796
749.45056,744.61536,764.7619,811.0989
722.8571,774.0293,773.6264,819.5604
711.978,747.8388,741.79486,760.32965
701.9048,728.9011,753.47986,694.2491
674.5055,731.31866,743.4066,718.022
717.2161,727.28937,735.34796,774.83514
746.2271,740.989,750.2564,763.5531
771.6117,769.19415,746.63007,721.6484
774.43225,759.5238,744.61536,690.2198
747.4359,735.34796,743.00366,722.4542
781.28204,739.3773,733.73627,744.61536
790.54944,743.4066,700.293,729.304
784.10254,784.5055,799.81683,787.72894
691.02563,752.674,810.293,721.2454
712.381,743.4066,787.326,721.2454
766.3736,759.12085,775.64105,760.7326
746.63007,765.16486,757.9121,755.09155
771.6117,760.32965,746.2271,695.8608
782.49084,738.5714,727.28937,684.17584
731.7216,751.4652,739.7802,738.1685
762.74725,781.28204,779.67035,799.81683
788.93774,794.9817,788.93774,807.0696
816.7399,770.80585,719.6337,797.3993
763.5531,790.54944,768.7912,760.7326
792.1612,780.07324,744.21246,795.38464
769.19415,772.4176,754.2857,762.74725
773.22345,769.19415,754.68866,734.94507
765.16486,750.65936,788.5348,705.5311
