eeg_1,eeg_2,eeg_3,eeg_4
793.36993,803.44324,790.14655,872.74725
783.69965,808.68134,785.7143,874.35895
776.4469,815.9341,785.7143,905.78754
774.43225,815.5311,796.1905,929.15753
768.3883,805.05493,794.9817,933.9927
761.13556,793.7729,779.67035,943.663
737.76556,797.8022,774.0293,925.5311
725.6777,811.0989,770,913.0403
748.24176,810.293,780.87915,948.49817
770.40295,809.4872,796.99634,951.7216
772.01465,814.3223,782.8938,937.619
754.2857,824.7985,766.77655,925.9341
743.00366,840.9158,774.83514,922.3077
763.5531,831.2454,781.685,977.1062
788.1319,816.7399,797.8022,1034.7252
786.52014,813.91943,793.36993,1053.2601
766.77655,783.2967,770.40295,1046.0073
767.98535,752.27106,752.674,1089.1208
766.77655,775.64105,744.61536,1135.4579
761.13556,814.3223,755.09155,1140.6959
786.52014,834.4689,772.8205,1138.6813
795.78754,814.3223,771.6117,1122.1611
756.7033,781.28204,745.42126,1109.6703
731.31866,788.5348,758.315,1120.9524
738.1685,801.02563,782.8938,1141.5018
747.4359,805.8608,765.9707,1139.0842
751.8681,801.4286,752.674,1122.5641
738.97437,807.0696,776.4469,1122.1611
749.45056,822.381,786.1172,1164.4689
777.6557,794.57874,770,1156.8132
720.0366,775.2381,764.35895,1104.4323
711.1722,774.0293,774.0293,1091.1355
808.2784,826.0073,778.86444,1197.1062
745.42126,776.4469,760.32965,1234.1758
793.36993,801.8315,775.2381,1397.7656
716.8132,763.5531,767.5824,1108.0586
824.7985,815.5311,780.07324,1474.7252
826.8132,809.4872,795.78754,1508.9744
809.4872,803.0403,813.1135,1539.1941
809.4872,815.9341,815.5311,1567.3993
842.52747,821.1722,819.5604,1573.8462
857.8388,824.3956,823.9927,1571.4286
809.4872,823.9927,807.47253,1544.0293
778.46155,802.6374,805.4579,1527.5092
797.8022,790.9524,810.293,1538.7913
789.7436,803.44324,801.4286,1532.3444
772.8205,805.8608,799.81683,1514.2124
790.54944,803.8461,796.99634,1502.1245
802.23444,822.381,809.89014,1505.751
810.696,821.1722,816.337,1507.3627
807.47253,809.4872,802.23444,1481.1721
794.17584,804.2491,792.96704,1445.7142
789.34064,805.8608,793.7729,1413.8828
776.4469,807.0696,790.54944,1395.348
786.1172,809.0842,796.5934,1413.0769
828.4249,819.5604,819.15753,1428.3883
841.7216,807.8755,816.7399,1411.4652
805.05493,796.5934,796.1905,1376.4103
795.78754,811.0989,788.5348,1347.8022
789.7436,814.7253,797.8022,1354.652
788.5348,811.9048,803.44324,1359.4872
787.72894,816.337,802.23444,1334.5055
783.69965,817.9487,805.8608,1302.674
801.02563,834.0659,807.8755,1286.1538
815.9341,839.304,807.0696,1299.0476
803.0403,823.5897,798.60803,1278.4982
814.3223,821.978,799.011,1298.6447
811.0989,825.6044,800.6227,1302.2711
784.10254,827.619,793.7729,1259.5604
774.43225,822.7839,787.72894,1259.5604
789.7436,814.7253,794.57874,1274.4689
818.3516,819.9634,806.6667,1278.0952
843.73627,826.4103,814.3223,1258.3517
802.23444,822.7839,812.3077,1237.8022
750.2564,821.978,799.41394,1213.6263
776.8498,834.0659,799.41394,1210.403
797.8022,838.49817,805.05493,1208.3883
778.46155,832.0513,804.2491,1191.8682
784.5055,822.7839,813.1135,1187.033
780.4762,822.381,811.50183,1183.4066
786.1172,829.6337,799.81683,1191.0623
822.381,831.6484,801.4286,1191.4652
828.8278,832.8571,800.6227,1162.8572
807.8755,834.87177,792.96704,1137.8755
798.20514,840.10986,791.3553,1140.6959
811.9048,848.97437,805.8608,1163.663
860.65936,868.315,828.022,1180.989
873.5531,873.5531,830.0366,1161.6483
839.304,866.7033,819.5604,1127.3993
822.7839,864.68866,828.022,1118.9377
841.7216,861.06226,842.1245,1127.8022
851.39197,850.18317,832.8571,1129.8169
833.663,845.7509,826.0073,1106.8499
827.2161,857.8388,845.7509,1085.4945
838.9011,866.30035,852.1978,1087.1062
853.8095,875.16486,853.4066,1099.597
851.79486,864.68866,847.76556,1097.5824
810.696,828.022,822.7839,1063.3334
783.2967,805.8608,799.41394,1013.7729
792.96704,820.3663,796.5934,1013.7729
805.8608,836.8865,811.0989,1034.3224
825.6044,835.6777,826.4103,1031.5018
858.6447,842.52747,836.8865,1025.8608
834.87177,833.2601,833.2601,993.6264
810.293,833.2601,832.0513,982.74725
844.1392,838.49817,832.4542,1010.14655
860.2564,832.0513,819.9634,1011.3553
837.6923,819.9634,805.05493,996.04395
815.5311,818.7546,804.2491,986.3736
807.8755,828.8278,816.337,985.16486
830.0366,842.9304,827.619,1014.9817
865.4945,844.5421,824.3956,1032.7106
857.03296,830.0366,799.81683,1008.1319
791.3553,803.0403,789.7436,949.304
815.12823,813.5165,794.17584,965.0183
808.68134,814.3223,780.4762,965.42126
845.7509,848.5714,792.1612,991.2088
868.315,861.06226,803.44324,1002.0879
829.2308,837.28937,792.1612,965.0183
783.69965,837.28937,788.5348,944.4689
795.78754,846.55676,797.3993,973.0769
811.9048,846.55676,794.9817,987.5824
829.2308,850.989,794.9817,977.1062
806.6667,841.31866,785.7143,946.08057
779.67035,829.2308,785.31134,925.9341
789.34064,845.7509,795.38464,940.4396
790.54944,843.73627,790.9524,943.2601
796.1905,830.4396,780.4762,932.381
813.1135,836.4835,769.59705,927.1429
831.2454,853.4066,777.6557,919.0842
828.022,843.3333,795.38464,927.5458
813.5165,812.71063,778.86444,939.2308
807.0696,794.17584,760.7326,940.0366
797.8022,794.17584,760.7326,916.6667
777.6557,807.8755,756.30035,881.6117
779.2674,804.2491,758.71796,893.2967
807.0696,800.6227,767.1795,923.1135
823.1868,803.0403,770,923.1135
805.4579,795.38464,773.6264,902.1612
775.64105,796.5934,770,868.71796
807.0696,820.7692,770.40295,900.54944
784.90845,812.3077,764.35895,868.315
815.5311,808.2784,772.01465,915.4579
815.12823,801.02563,759.5238,897.326
798.60803,807.47253,756.30035,853.4066
779.67035,800.2198,761.9414,846.9597
795.78754,804.2491,767.5824,884.43225
839.304,834.0659,782.8938,916.6667
834.87177,830.0366,779.67035,906.99634
780.87915,799.011,747.8388,862.674
761.13556,798.60803,743.4066,852.1978
785.7143,819.15753,763.1502,880.80585
805.8608,827.2161,766.77655,892.8938
812.71063,820.7692,766.3736,876.77655
807.47253,804.65204,769.19415,860.65936
781.28204,788.5348,761.13556,856.63007
783.2967,804.65204,755.4945,881.2088
800.6227,806.6667,759.5238,902.1612
801.02563,807.8755,758.315,888.86444
816.337,835.6777,759.12085,884.43225
812.71063,834.87177,764.7619,884.43225
777.6557,822.7839,759.92676,878.7912
786.52014,823.5897,765.56775,881.6117
802.6374,842.52747,784.5055,887.25275
784.10254,824.7985,765.9707,880
805.05493,838.0952,784.5055,883.22345
800.2198,827.619,773.22345,879.59705
817.1429,833.2601,781.685,895.7143
824.3956,834.0659,785.7143,901.3553
790.9524,826.0073,759.12085,869.92676
755.09155,817.5458,749.85345,838.0952
758.71796,819.15753,760.7326,841.31866
782.8938,828.4249,757.1062,867.9121
825.2015,838.49817,785.7143,882.01465
809.89014,835.2747,769.19415,888.0586
809.0842,828.8278,779.67035,865.09155
799.41394,820.7692,784.10254,881.6117
803.8461,823.1868,784.10254,903.36993
776.8498,805.8608,766.77655,887.25275
762.74725,790.9524,758.71796,863.8828
763.1502,796.5934,759.12085,850.18317
764.7619,807.8755,767.1795,865.89746
785.31134,822.381,774.43225,888.86444
821.1722,830.84247,776.04395,898.5348
817.5458,825.6044,774.43225,880.40295
763.1502,811.50183,769.19415,843.73627
757.50916,813.91943,778.0586,850.989
772.01465,825.6044,772.4176,871.13556
788.1319,840.5128,754.2857,875.9707
802.6374,828.8278,767.1795,855.42126
794.17584,817.1429,789.7436,835.6777
785.7143,832.4542,795.38464,854.61536
778.46155,823.9927,780.87915,879.19415
776.8498,812.71063,758.71796,873.95605
780.87915,816.337,760.32965,861.06226
771.6117,811.0989,767.98535,841.31866
775.64105,801.4286,767.5824,837.28937
788.1319,796.1905,773.22345,867.9121
803.8461,799.41394,771.6117,888.46155
825.2015,802.23444,766.77655,880.80585
798.60803,809.4872,769.59705,855.42126
797.3993,806.6667,762.3443,869.12085
809.4872,790.54944,759.12085,874.7619
810.696,796.5934,766.77655,859.85345
817.1429,787.72894,763.95605,865.09155
807.0696,799.41394,773.22345,844.1392
790.14655,811.9048,779.2674,840.5128
791.75824,811.50183,781.685,859.85345
806.6667,811.9048,776.8498,875.16486
837.28937,829.2308,780.4762,867.1062
819.15753,818.7546,784.5055,844.1392
824.3956,823.5897,773.22345,877.5824
802.6374,814.7253,784.5055,850.989
813.1135,821.1722,772.4176,860.2564
829.2308,820.7692,772.8205,847.76556
804.2491,805.05493,775.64105,832.4542
768.7912,798.60803,773.22345,805.05493
785.7143,813.5165,772.4176,807.8755
833.2601,809.4872,767.5824,832.4542
848.1685,805.8608,783.69965,847.76556
835.2747,812.71063,793.36993,839.707
831.6484,822.381,799.41394,830.4396
833.2601,815.9341,794.57874,836.8865
807.0696,792.1612,783.69965,840.5128
803.0403,796.99634,786.1172,843.3333
830.84247,810.696,780.4762,840.5128
817.5458,808.68134,774.43225,822.381
801.02563,826.8132,788.93774,833.663
823.5897,837.28937,791.3553,859.85345
816.337,802.23444,765.16486,838.0952
811.9048,799.81683,784.5055,832.0513
823.5897,809.89014,803.0403,837.28937
808.2784,814.3223,790.9524,819.5604
803.8461,806.6667,782.49084,822.381
819.15753,792.96704,782.8938,836.4835
826.4103,793.36993,791.3553,841.7216
814.3223,808.68134,799.011,826.4103
809.4872,823.1868,800.2198,818.3516
823.1868,819.9634,789.7436,838.0952
844.1392,819.15753,791.75824,855.82416
832.8571,815.9341,794.17584,841.7216
812.71063,799.011,791.3553,820.3663
815.5311,790.14655,793.36993,815.5311
808.68134,788.5348,782.8938,834.87177
813.91943,805.05493,784.10254,850.58606
847.76556,820.3663,802.6374,848.97437
841.31866,815.9341,801.8315,828.4249
808.68134,820.3663,792.96704,817.1429
802.23444,806.6667,789.7436,837.28937
807.0696,793.7729,786.1172,848.97437
809.0842,796.5934,775.64105,834.0659
829.2308,805.4579,782.8938,830.4396
846.9597,832.8571,802.23444,841.7216
819.9634,817.1429,792.1612,843.73627
830.84247,796.5934,772.8205,851.79486
807.47253,781.685,774.83514,842.1245
837.6923,797.3993,775.64105,838.0952
830.4396,794.9817,774.43225,827.619
849.7802,818.7546,796.1905,860.65936
863.47986,814.7253,809.89014,874.7619
850.58606,811.0989,806.6667,861.06226
861.06226,823.9927,808.68134,855.0183
849.3773,805.8608,803.8461,829.2308
815.12823,788.93774,798.60803,824.3956
798.60803,789.34064,780.4762,833.663
815.12823,801.8315,783.69965,843.73627
812.71063,799.41394,791.3553,831.6484
790.54944,788.1319,791.3553,803.44324
