eeg_1,eeg_2,eeg_3,eeg_4
755.4945,811.9048,792.96704,794.57874
758.71796,803.44324,785.7143,673.2967
731.31866,761.53845,770.40295,479.08426
729.304,767.98535,774.0293,498.4249
751.8681,786.9231,789.7436,693.44324
762.74725,803.44324,793.36993,774.0293
756.7033,819.9634,785.7143,659.19415
735.7509,820.3663,774.43225,484.32236
762.74725,858.6447,792.96704,684.17584
776.8498,873.1502,802.6374,786.9231
772.01465,859.85345,792.5641,695.4579
764.35895,859.45056,786.9231,521.79486
765.16486,872.3443,793.7729,502.85715
784.5055,853.00366,802.23444,665.2381
791.3553,831.2454,797.3993,767.5824
783.2967,837.28937,790.54944,703.91943
774.83514,828.8278,778.46155,515.7509
770.0,832.4542,779.2674,455.7143
736.1539,829.6337,774.83514,487.94873
778.86444,850.58606,790.14655,618.49817
787.326,855.82416,796.1905,766.3736
788.1319,844.94507,803.8461,732.1245
765.9707,827.2161,789.7436,551.6117
744.21246,828.4249,771.6117,460.1465
761.13556,863.47986,791.75824,613.2601
775.64105,852.6007,798.60803,772.01465
769.59705,833.2601,793.36993,760.32965
757.9121,830.84247,786.52014,608.8278
739.7802,809.4872,777.6557,504.06595
750.2564,826.8132,793.7729,633.4066
774.43225,840.10986,806.26373,794.17584
773.22345,836.8865,801.02563,802.23444
760.32965,820.3663,789.34064,539.5238
778.0586,837.6923,805.4579,661.2088
796.5934,849.3773,814.7253,832.0513
799.81683,861.06226,815.12823,861.8681
794.17584,842.1245,799.41394,716.0073
776.04395,800.6227,788.5348,573.7729
772.01465,813.91943,803.8461,668.86444
796.99634,835.2747,818.3516,857.4359
803.44324,855.42126,820.7692,919.89014
789.34064,840.5128,799.81683,782.8938
760.7326,829.6337,789.34064,656.3736
779.2674,807.8755,787.72894,624.5421
792.1612,822.381,837.28937,900.9524
793.7729,828.022,830.84247,982.74725
777.25275,817.5458,811.0989,863.47986
755.4945,817.5458,803.8461,682.1612
751.4652,792.1612,812.3077,709.5604
770.80585,784.5055,827.2161,908.20514
783.69965,808.2784,813.91943,705.9341
786.1172,814.3223,831.2454,1023.8461
777.6557,808.2784,814.3223,923.5165
758.71796,794.57874,796.1905,729.304
757.1062,794.9817,799.011,719.2308
776.8498,799.41394,813.91943,915.05493
784.10254,805.8608,809.0842,972.674
751.4652,777.25275,787.326,766.3736
741.79486,786.9231,789.7436,734.94507
761.9414,823.9927,815.9341,930.7692
775.64105,820.7692,818.3516,1076.63
765.9707,789.34064,808.2784,1026.6666
748.6447,786.1172,799.41394,830.0366
738.5714,786.9231,798.20514,747.03296
750.65936,803.0403,819.5604,928.7546
756.30035,809.89014,825.6044,1092.7472
795.38464,820.7692,821.5751,1054.0659
751.8681,811.0989,820.3663,1070.1831
732.52747,797.8022,809.89014,879.59705
713.9927,776.4469,802.6374,765.16486
724.4689,800.6227,817.1429,933.1868
739.7802,811.9048,829.2308,1126.5934
739.3773,809.89014,824.7985,1135.0549
712.381,787.326,806.6667,950.9158
698.2784,757.50916,799.41394,814.7253
717.2161,772.01465,813.1135,960.989
732.9304,788.5348,820.7692,1162.0513
749.0476,795.38464,823.5897,1200.3297
734.94507,783.2967,810.293,1029.8901
707.9487,764.7619,797.8022,873.95605
722.8571,779.67035,817.9487,1006.52014
751.06226,801.02563,830.4396,1228.5348
732.1245,774.83514,806.6667,1127.8022
713.9927,774.83514,788.93774,960.989
750.65936,795.78754,825.6044,1285.751
748.6447,786.52014,824.7985,1253.5165
751.4652,768.7912,816.337,1320.8059
744.61536,764.7619,801.8315,1174.9451
731.7216,770.80585,791.75824,984.35895
729.304,776.8498,800.2198,1028.2784
725.6777,792.5641,809.0842,1048.8279
737.76556,788.93774,816.7399,1241.8315
