eeg_1,eeg_2,eeg_3,eeg_4
781.28204,803.0403,806.26373,744.61536
767.98535,797.8022,799.41394,649.12085
804.2491,799.011,802.6374,803.44324
835.2747,810.293,809.4872,936.8132
828.4249,807.0696,808.68134,900.54944
800.6227,803.44324,805.8608,777.6557
779.2674,806.26373,797.8022,656.77655
765.9707,779.2674,776.8498,744.21246
774.0293,770.80585,783.2967,884.83514
793.36993,796.1905,807.8755,886.04395
771.2088,797.3993,805.05493,772.8205
742.6007,788.5348,798.60803,637.8388
775.64105,793.7729,809.89014,738.1685
808.68134,795.38464,817.5458,908.20514
795.38464,790.54944,807.47253,909.81683
774.0293,788.93774,798.20514,809.89014
756.30035,791.75824,790.9524,660.40295
773.22345,801.02563,795.38464,723.663
793.7729,798.60803,792.96704,888.86444
800.6227,798.20514,794.9817,909.011
781.28204,796.99634,797.8022,822.7839
743.8095,790.9524,786.1172,666.04395
751.06226,792.1612,790.54944,699.0842
792.1612,799.41394,803.0403,897.326
805.05493,803.0403,803.8461,932.381
785.31134,801.02563,801.4286,842.9304
762.74725,801.4286,792.96704,691.8315
780.07324,804.65204,794.57874,692.6374
823.1868,814.7253,809.0842,888.86444
814.3223,802.23444,791.75824,932.7839
754.68866,763.5531,751.4652,810.293
751.8681,780.87915,766.3736,667.25275
791.75824,802.6374,796.5934,672.49084
792.5641,774.43225,788.5348,837.6923
775.2381,758.315,775.2381,909.41394
804.65204,789.7436,799.011,881.6117
783.2967,788.93774,794.57874,706.337
844.94507,794.17584,803.44324,846.1539
856.2271,802.23444,809.89014,954.94507
831.6484,796.5934,800.2198,881.2088
804.65204,784.90845,788.1319,678.1319
856.2271,795.38464,803.0403,855.82416
861.06226,793.36993,809.0842,964.21246
804.2491,782.8938,785.7143,739.3773
821.978,772.8205,788.1319,897.326
801.8315,773.22345,788.93774,767.1795
807.47253,790.14655,803.8461,669.67035
775.2381,779.67035,784.90845,633.4066
841.31866,795.78754,811.50183,807.8755
861.4652,792.96704,813.91943,949.304
853.00366,796.5934,808.2784,923.1135
829.6337,800.2198,803.0403,796.99634
817.9487,798.20514,800.2198,677.72894
