eeg_1,eeg_2,eeg_3,eeg_4
807.47253,797.8022,803.8461,807.8755
814.7253,806.26373,810.696,814.7253
820.3663,811.50183,819.15753,817.9487
811.0989,803.8461,811.50183,813.1135
803.44324,796.1905,803.0403,805.05493
803.8461,794.17584,801.8315,806.6667
807.0696,800.6227,808.68134,806.26373
814.3223,812.3077,819.5604,805.05493
818.3516,810.696,815.12823,809.89014
811.50183,800.2198,807.0696,811.50183
813.91943,802.6374,807.47253,819.9634
818.3516,809.4872,808.2784,823.9927
823.1868,816.337,811.9048,819.15753
819.5604,812.3077,808.2784,813.91943
803.8461,796.1905,798.20514,804.65204
792.96704,785.7143,788.1319,796.1905
801.4286,794.57874,791.75824,801.02563
814.7253,813.1135,802.6374,807.47253
812.3077,814.3223,799.81683,804.2491
798.20514,797.8022,787.72894,793.36993
795.78754,792.1612,788.5348,792.1612
805.4579,801.4286,798.60803,802.23444
811.9048,809.4872,801.4286,805.4579
811.0989,812.71063,804.2491,803.0403
799.81683,800.6227,800.2198,794.9817
793.7729,794.17584,793.36993,790.9524
799.41394,802.23444,798.60803,798.20514
802.6374,810.293,803.8461,796.99634
801.4286,813.5165,803.44324,787.326
798.20514,806.6667,802.23444,786.9231
798.60803,802.6374,801.4286,789.34064
799.81683,802.6374,796.5934,786.1172
808.2784,807.8755,801.02563,789.34064
819.5604,815.12823,805.8608,801.4286
813.5165,809.0842,799.011,803.44324
805.4579,800.6227,798.20514,802.6374
807.0696,797.8022,798.20514,806.6667
813.1135,805.4579,801.02563,813.91943
816.337,810.293,804.65204,813.5165
817.9487,799.41394,800.6227,805.4579
806.6667,784.5055,788.5348,797.8022
809.4872,789.34064,788.93774,800.2198
820.7692,800.2198,798.20514,804.2491
821.978,805.05493,804.65204,810.696
820.3663,807.8755,807.47253,813.91943
812.71063,801.02563,799.81683,809.0842
810.696,792.96704,794.9817,807.8755
813.1135,798.60803,799.41394,806.6667
819.15753,813.91943,814.7253,805.8608
819.5604,813.91943,817.5458,805.8608
807.8755,802.6374,804.65204,797.8022
796.5934,798.60803,799.41394,793.7729
798.60803,801.02563,802.6374,793.7729
805.8608,799.41394,800.6227,788.1319
799.41394,798.60803,795.38464,781.685
792.5641,790.9524,794.57874,780.4762
793.36993,784.10254,792.1612,781.685
796.1905,788.93774,794.57874,782.8938
801.8315,793.36993,799.011,786.52014
810.696,800.6227,802.23444,792.5641
806.6667,796.1905,798.60803,793.7729
801.02563,790.14655,794.9817,798.60803
812.71063,804.65204,801.02563,807.47253
815.5311,809.89014,801.8315,806.26373
806.6667,798.60803,794.9817,800.6227
798.20514,789.7436,785.7143,788.93774
799.41394,788.93774,785.7143,791.75824
804.2491,791.3553,790.14655,794.17584
799.81683,794.57874,796.1905,786.9231
804.2491,794.9817,794.9817,788.1319
792.5641,790.14655,783.2967,780.4762
787.72894,786.1172,780.07324,782.49084
806.6667,794.17584,798.60803,807.8755
783.69965,785.31134,787.326,788.1319
791.3553,791.3553,791.3553,770.40295
789.7436,783.69965,789.7436,771.2088
795.78754,792.96704,792.96704,773.22345
787.72894,794.17584,791.3553,778.0586
805.4579,804.65204,800.2198,776.04395
807.0696,808.2784,800.6227,778.46155
803.44324,802.23444,797.8022,780.87915
796.1905,790.9524,788.93774,776.8498
799.81683,792.5641,788.1319,781.685
811.9048,796.5934,795.38464,790.14655
818.7546,797.8022,798.60803,790.54944
819.5604,802.23444,795.38464,793.7729
814.3223,795.38464,791.75824,798.60803
809.89014,790.14655,794.57874,799.41394
807.0696,789.7436,790.14655,799.81683
804.2491,800.6227,791.75824,794.9817
791.75824,794.17584,790.9524,795.78754
796.99634,794.17584,785.7143,798.20514
812.71063,796.1905,780.07324,806.6667
822.381,802.23444,799.81683,815.12823
811.9048,796.1905,788.5348,799.81683
801.02563,797.8022,814.3223,802.6374
778.0586,788.5348,806.6667,792.5641
783.2967,786.9231,804.2491,792.5641
792.5641,788.5348,803.44324,796.99634
801.8315,796.1905,815.5311,804.65204
807.8755,801.4286,825.6044,807.8755
796.1905,792.5641,817.1429,794.9817
786.9231,782.8938,808.68134,781.685
792.96704,789.7436,808.2784,782.8938
802.23444,801.4286,812.3077,790.14655
802.23444,801.4286,812.71063,789.7436
796.1905,793.7729,805.05493,789.34064
791.75824,791.75824,801.8315,792.96704
792.5641,790.14655,803.0403,795.38464
801.4286,797.3993,808.2784,804.2491
810.293,807.8755,816.7399,803.44324
804.65204,798.60803,810.293,791.3553
795.78754,787.326,799.011,789.34064
803.0403,796.1905,802.23444,800.6227
813.5165,805.8608,811.9048,809.4872
793.7729,785.7143,793.7729,790.9524
800.6227,794.9817,800.6227,798.60803
786.9231,783.69965,791.3553,790.14655
