eeg_1,eeg_2,eeg_3,eeg_4
797.8022,780.87915,789.7436,766.77655
778.0586,775.2381,767.1795,713.1868
794.9817,787.326,794.57874,790.14655
817.1429,797.3993,818.3516,867.50916
805.8608,792.5641,819.5604,867.1062
784.90845,779.67035,794.9817,773.22345
773.6264,779.2674,774.43225,691.4286
780.07324,783.69965,789.34064,754.68866
805.8608,806.6667,815.12823,859.0476
817.9487,837.28937,823.5897,870.32965
796.1905,798.60803,792.96704,775.64105
769.59705,759.92676,770.80585,703.5165
776.8498,773.6264,784.5055,738.97437
803.44324,795.38464,810.293,830.4396
803.44324,799.81683,819.15753,870.32965
790.54944,790.14655,796.99634,777.6557
781.28204,788.93774,777.6557,701.50183
785.31134,786.52014,788.5348,735.7509
804.65204,805.05493,813.5165,841.31866
817.5458,815.5311,821.978,888.0586
807.0696,828.8278,803.44324,812.3077
784.5055,818.7546,782.0879,725.2747
782.0879,788.5348,787.72894,743.8095
802.23444,814.7253,811.50183,838.0952
820.3663,817.9487,817.9487,880.80585
810.696,790.54944,801.8315,828.8278
783.2967,774.0293,780.87915,729.707
774.43225,775.2381,781.685,722.8571
803.8461,788.1319,809.0842,822.7839
815.12823,809.89014,821.5751,871.9414
807.47253,813.91943,813.1135,831.6484
793.36993,793.7729,799.011,742.1978
784.10254,814.7253,790.9524,727.6923
799.41394,830.84247,808.2784,809.89014
809.0842,811.9048,826.4103,865.4945
804.65204,797.8022,818.7546,830.0366
780.87915,786.1172,792.96704,727.6923
769.59705,798.60803,786.52014,701.9048
791.75824,810.696,809.0842,782.49084
811.50183,811.50183,830.0366,862.674
808.2784,810.293,832.0513,851.79486
792.96704,801.8315,804.65204,750.65936
765.56775,787.326,782.0879,703.1135
775.2381,790.9524,803.0403,777.6557
802.23444,843.73627,827.619,855.82416
798.60803,851.39197,819.5604,848.5714
776.8498,801.02563,796.99634,756.7033
758.315,782.49084,783.69965,693.8461
801.8315,807.8755,826.4103,847.3626
773.6264,788.93774,798.20514,753.47986
806.6667,813.91943,834.87177,876.3736
784.90845,810.293,808.2784,775.64105
758.71796,803.8461,787.326,694.65204
795.78754,802.6374,820.3663,856.2271
798.20514,823.1868,823.1868,873.1502
767.98535,803.8461,784.10254,703.91943
777.6557,826.8132,799.81683,776.8498
798.20514,792.96704,823.9927,830.84247
774.43225,782.8938,802.6374,737.3626
796.1905,819.9634,806.26373,787.72894
812.3077,813.5165,822.381,869.12085
771.2088,799.011,778.86444,700.696
763.5531,788.5348,796.99634,754.68866
775.2381,804.65204,782.0879,708.3516
811.0989,826.4103,818.7546,861.06226
800.2198,830.0366,808.68134,803.8461
796.1905,820.7692,803.0403,782.49084
770,811.50183,772.8205,693.8461
770.40295,813.5165,772.8205,707.1429
797.3993,823.5897,805.8608,817.9487
813.91943,811.50183,823.5897,873.5531
792.96704,798.20514,802.6374,812.71063
759.92676,787.72894,767.1795,716.0073
763.1502,783.2967,766.77655,696.26373
782.8938,790.14655,800.2198,792.1612
793.36993,807.8755,819.15753,866.30035
790.14655,811.0989,809.0842,840.5128
770,796.99634,788.1319,747.8388
765.16486,779.67035,783.69965,701.0989
793.36993,793.7729,803.44324,786.9231
810.696,834.4689,820.7692,878.3883
804.65204,838.0952,817.1429,850.18317
781.685,792.5641,788.1319,743.4066
770.40295,755.09155,774.83514,690.6227
788.93774,769.59705,797.3993,774.83514
813.5165,797.3993,823.1868,869.12085
812.71063,800.2198,817.9487,859.85345
788.93774,780.87915,785.7143,762.3443
773.6264,765.9707,772.01465,695.05493
788.93774,796.99634,792.5641,763.1502
806.26373,821.978,817.9487,855.82416
811.50183,813.91943,816.7399,867.9121
792.1612,801.8315,801.02563,778.46155
774.43225,796.5934,780.87915,687.8022
780.4762,786.9231,787.72894,737.76556
801.4286,802.23444,811.50183,834.87177
803.8461,805.4579,808.68134,844.94507
783.69965,776.04395,789.7436,762.74725
776.04395,771.6117,775.64105,701.0989
780.87915,784.10254,788.1319,746.63007
787.72894,805.8608,801.4286,787.72894
802.23444,794.57874,813.5165,838.49817
806.6667,803.0403,817.5458,872.74725
769.59705,795.78754,782.49084,702.3077
776.04395,804.2491,785.31134,722.4542
801.8315,822.7839,807.8755,817.5458
811.0989,806.6667,819.9634,869.12085
801.02563,793.36993,803.0403,796.99634
778.46155,780.87915,777.6557,719.6337
770.80585,788.5348,780.4762,723.2601
793.7729,821.978,802.6374,811.50183
811.0989,811.9048,813.91943,872.3443
796.99634,791.75824,799.81683,815.12823
772.01465,781.28204,781.28204,716.8132
777.6557,781.685,781.28204,701.9048
809.4872,798.20514,804.65204,806.26373
814.3223,830.84247,822.381,879.59705
801.4286,826.0073,811.0989,821.978
788.93774,771.6117,788.93774,722.4542
768.7912,757.1062,769.59705,685.38464
779.67035,780.4762,786.9231,767.98535
802.6374,804.2491,818.3516,861.06226
799.011,807.47253,813.5165,831.6484
779.2674,792.96704,785.31134,738.1685
770,796.5934,780.07324,703.91943
794.17584,807.0696,801.02563,794.9817
822.7839,817.9487,817.1429,876.3736
816.337,814.7253,817.5458,866.30035
793.36993,800.6227,795.78754,767.1795
786.1172,806.26373,783.2967,711.978
794.57874,804.2491,800.6227,788.5348
803.8461,807.47253,819.15753,852.6007
809.89014,807.0696,818.7546,857.03296
799.41394,794.17584,798.60803,777.6557
775.64105,778.86444,784.10254,711.1722
783.2967,783.69965,795.38464,775.64105
805.8608,801.8315,819.15753,872.3443
817.1429,811.50183,823.5897,892.8938
792.1612,801.02563,799.011,788.5348
771.6117,800.2198,781.685,697.8755
788.1319,822.381,794.9817,740.18317
811.9048,825.2015,816.7399,845.7509
799.011,795.38464,803.8461,804.2491
780.87915,779.2674,780.07324,702.3077
784.10254,784.5055,785.7143,730.5128
820.3663,811.50183,825.2015,890.4762
803.8461,801.4286,810.293,835.6777
807.0696,799.41394,823.1868,871.13556
788.5348,780.4762,809.4872,799.41394
776.4469,773.22345,784.90845,713.1868
785.7143,779.67035,784.10254,717.2161
